COM COD,COURSE NO.,COURSE TITLE,CREDITS,SEC,ROOM,DAYS & HOURS,INSTRUCTOR,MIDSEM,COMPRE
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P4,,S 1 2,"Partha Sarathi Addy, Reena Jangir(RS), Arpit(RS), Dhrubajyoti Paul(RS)",,
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P5,,T 6 7,"Mrinmoyee Basu, Priyanka Kumari(RS), Nikita Khichar(RS), Afrisham Ahmad(RS)",,
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P6,,T 8 9,"Paritosh Shukla, Harshit(RS), Aparna Sharma(RS), Asim Mohammed K(RS)",,
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P7,,F 6 7,"Partha Sarathi Addy, Tarun Jangir(RS), Diksha(RS), Ankit Yadav(RS)",,
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P8,,Th 1 2,"SAUMI RAY, Tank Disha Harsukhbhai(RS), Subhendu Adhikari(RS), Aditya Mohan Shukla(RS)",,
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P9,,S 3 4,"Anish Rao, Borade Somnath Arjun(RS), Nidhi(RS), Pragati Shrivastava(RS), Kamal Lochan(RS)",,
1006,CHEM F110,CHEMISTRY LABORATORY,--2-1,P10,,Th 6 7,"Inamur Rahaman Laskar, Sakshi Bajaj(RS), Huma(RS), Harshi Saxena(RS)",,
1007,CHEM F111,GENERAL CHEMISTRY,3---3,L1,5105,M W 2 T 10,SAUMI RAY,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,L2,5105,M W 4 T 10,"Saumi Ray, Anil Kumar",13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T1,6102,F 1,Anil Kumar,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T2,6162,F 1,Partha Sarathi Addy,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T3,6105,F 1,Satyajit Patra,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T4,6109,F 1,Dalip Kumar,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T5,1219,F 1,Paritosh Shukla,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T6,1220,F 1,Ram Kinkar Roy,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T7,6151,F 1,Ajay Kumar Sah,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T8,6161,T 9,Anish Rao,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T9,6162,T 9,Partha Sarathi Addy,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T10,6164,T 9,Satyajit Patra,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T11,6105,T 9,Prashant Uday Manohar,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T12,6107,T 10,Paritosh Shukla,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T13,1219,T 9,Dalip Kumar,13/03 FN2,13/05 AN
1007,CHEM F111,GENERAL CHEMISTRY,3---3,T14,1220,T 9,Ajay Kumar Sah,13/03 FN2,13/05 AN
1116,CHEM F211,PHYSICAL CHEMISTRY I,3---3,L1,6156,T Th F 3,AVIK KUMAR PATI,10/03 AN1,06/05 FN
1116,CHEM F211,PHYSICAL CHEMISTRY I,3---3,T1,6152,T 1,Avik Kumar Pati,10/03 AN1,06/05 FN
1554,CHEM F241,INORGANIC CHEMISTRY II,3---3,L1,6152,T Th F 2,MADHUSHREE SARKAR,09/03 FN1,02/05 FN
1554,CHEM F241,INORGANIC CHEMISTRY II,3---3,T1,6151,T 8,Madhushree Sarkar,09/03 FN1,02/05 FN
1556,CHEM F243,ORGANIC CHEMISTRY II,3---3,L1,6155,M W 5 Th 10,INDRESH KUMAR,13/03 AN1,14/05 FN
1556,CHEM F243,ORGANIC CHEMISTRY II,3---3,T1,6152,F 1,Indresh Kumar,13/03 AN1,14/05 FN
1557,CHEM F244,PHYSICAL CHEMISTRY III,3---3,L1,6152,M W 4 T 10,RAM KINKAR ROY,12/03 FN1,11/05 FN
1557,CHEM F244,PHYSICAL CHEMISTRY III,3---3,T1,6152,T 7,Ram Kinkar Roy,12/03 FN1,11/05 FN
1654,CHEM F266,STUDY PROJECT,----3,L1,,,INAMUR RAHAMAN LASKAR,,
1570,CHEM F323,BIOPHYSICAL CHEMISTRY,3---3,L1,6152,M W F 9,AJAY KUMAR SAH,11/03 AN1,09/05 FN
1572,CHEM F325,POLYMER CHEMISTRY,3---3,L1,6105,M W F 10,BIBHAS RANJAN SARKAR,13/03 FN2,13/05 AN
1586,CHEM F336,NANOCHEMISTRY,3-1-4,L1,6160,M W F 7,SUROJIT PANDE,14/03 FN1,15/05 FN
1561,CHEM F341,CHEMICAL EXPER II,--4-4,P1,3103,M W 1 2 3,"Madhushree Sarkar, Surojit Pande, Pritam Kumar Jana, Avik Kumar Pati, Susmita Pradhan(RS), Meenu(RS), Ritu Kumari(RS), Vineeta Chaturvedi(RS), Prekshi Gupta(RS), Samya Suvra Datta(RS), Prashant Mani Tripathi(RS), Prakriti Sharma(RS), Aashima(RS)",,
1561,CHEM F341,CHEMICAL EXPER II,--4-4,P2,3103,M W 7 8 9,"PRASHANT UDAY MANOHAR, Shamik Chakraborty, Satyajit Patra, Bibhas Ranjan Sarkar, Ritu Rani(RS), Shubhangi Sharma(RS), Shruti Soni(RS), Pinki(RS), Ram Kushal Verma(RS), Sakshi Kushwaha(RS), Sneha Mishra(RS), Ghanshyam Sharma(RS), Priyamvada Singh(RS)",,
1562,CHEM F342,ORGANIC CHEMISTRY IV,3---3,L1,6154,T Th F 4,NITIKA GROVER,14/03 AN1,16/05 FN
1562,CHEM F342,ORGANIC CHEMISTRY IV,3---3,T1,6153,T 9,Nitika Grover,14/03 AN1,16/05 FN
1563,CHEM F343,INORGANIC CHEMISTRY III,3---3,L1,6153,T Th F 5,BHARTI KHUNGAR,11/03 FN1,08/05 FN
1563,CHEM F343,INORGANIC CHEMISTRY III,3---3,T1,6105,Th 1,Bharti Khungar,11/03 FN1,08/05 FN
1669,CHEM F366,LABORATORY PROJECT,----3,L1,,,INAMUR RAHAMAN LASKAR,,
1739,CHEM F367,LABORATORY PROJECT,----3,L1,,,INAMUR RAHAMAN LASKAR,,
1688,CHEM F376,DESIGN PROJECT,----3,L1,,,INAMUR RAHAMAN LASKAR,,
1755,CHEM F377,DESIGN PROJECT,----3,L1,,,INAMUR RAHAMAN LASKAR,,
1581,CHEM F415,FRONTIERS IN ORGANIC SYN,3---3,L1,6160,M W 5 Th 10,DALIP KUMAR,13/03 AN1,14/05 FN
1574,CHEM F422,STATISTICAL THERMODYNAM,3---3,L1,6107,T Th F 2,PRITAM KUMAR JANA,09/03 FN1,02/05 FN
2284,CHEM F430,ATMOSPHERIC CHEMISTRY,3---3,L1,6160,T Th F 3,SHAMIK CHAKRABORTY,10/03 AN1,06/05 FN
1713,CHEM F491,SPECIAL PROJECT,----3,L1,,,INAMUR RAHAMAN LASKAR,,
7,CHEM G552,ADV INORGANIC CHEMISTRY,----5,L1,6164,T Th F 2,INAMUR RAHAMAN LASKAR,09/03 FN2,02/05 AN
242,CHEM G554,PHY METHODS IN CHEMISTRY,----5,L1,2203(M) 6160(W F),M W F 9,"MRINMOYEE BASU, Anil Kumar",10/03 FN2,05/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,L1,5102,M W 3 Th 9,Bharat Richhariya,13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,L2,5102,T Th F 2,JAGAT SESH CHALLA,13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P1,6114,F 3 4,Siddharth Mehrotra,13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P2,6119,F 6 7,Radhika Bohra(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P3,6114,F 6 7,Abhinand P.(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P4,6116,F 6 7,Manasvi Singh(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P5,6013,F 6 7,Mohit(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P6,6114,S 1 2,Mohit(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P7,6116,M 6 7,Kartikey Singh Bhandari(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P8,6114,T 3 4,Sundaresan Raman,13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P9,6116,T 3 4,Kartikey Singh Bhandari(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P10,6018,Th 3 4,Manasvi Singh(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P11,6018,W 3 4,Siddharth Mehrotra,13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P12,6019,S 6 7,Neha Sangwan(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P13,6114,W 6 7,Radhika Bohra(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P14,6116,W 6 7,Abhinand P.(RS),13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P15,6017,Th 3 4,Vinti Agarwal,13/03 FN2,13/05 AN
1008,CS F111,COMPUTER PROGRAMMING,3-1-4,P16,6019,S 3 4,Neha Sangwan(RS),13/03 FN2,13/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,L1,6109,M W 4 T 10,POONAM GOYAL,12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,L2,6109,T Th F 3,Vishal Gupta,12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P1,6017,F 7 8 9,Aniket Upadhyay(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P2,6017,M 1 2 3,Soumya R Saju(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P3,6118,S 1 2 3,Priyanka Jain(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P4,6119,S 1 2 3,Nikhil Maurya(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P5,6017,T 7 8 9,Nikhil Maurya(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P6,6018,T 7 8 9,Parmod(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P7,6017,Th 7 8 9,Priyanka Jain(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P8,6018,Th 7 8 9,Aniket Upadhyay(RS),12/03 FN2,11/05 AN
1094,CS F211,DATA STRUCTURES & ALGO,3-1-4,P9,6017,W 1 2 3,Soumya R Saju(RS),12/03 FN2,11/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,L1,6163,M W 4 T 10,Haribabu K,10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,L2,6163,T Th F 3,NAVNEET GOYAL,10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P1,6017,F 1 2,Devika S(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P2,6017,T 1 2,Ravi Kumar Sharma(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P3,6114,T 1 2,Anukriti Pandey(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P4,6019,T 1 2,Neha(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P5,6114,Th 1 2,Ravi Kumar Sharma(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P6,6118,Th 7 8,Anukriti Pandey(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P7,6117,Th 1 2,Neha(RS),10/03 AN2,06/05 AN
1095,CS F212,DATABASE SYSTEMS,3-1-4,P8,6119,Th 7 8,Devika S(RS),10/03 AN2,06/05 AN
1092,CS F213,OBJECT ORIENTED PROG,3-1-4,L1,6105,M W F 7,TANMAY MAHAPATRA,12/03 AN2,12/05 AN
1092,CS F213,OBJECT ORIENTED PROG,3-1-4,L2,6105,T Th F 3,Avinash Gautam,12/03 AN2,12/05 AN
1092,CS F213,OBJECT ORIENTED PROG,3-1-4,P1,6117,F 1 2,Subhajit Roy(RS),12/03 AN2,12/05 AN
1092,CS F213,OBJECT ORIENTED PROG,3-1-4,P2,6116,F 10 11,Shreya Gupta(RS),12/03 AN2,12/05 AN
1092,CS F213,OBJECT ORIENTED PROG,3-1-4,P3,6018,T 1 2,Shreya Gupta(RS),12/03 AN2,12/05 AN
1092,CS F213,OBJECT ORIENTED PROG,3-1-4,P4,6114,Th 7 8,Subhajit Roy(RS),12/03 AN2,12/05 AN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,L1C,5105,M W 5 Th 10,Janardan Prasad Misra,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,L2E,5102,M W 5 Th 10,MEETHA V. SHENOY,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T1C,6102,F 9,Tejasvi Alladi,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T2C,6105,F 9,Gopal Singh Phartiyal,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T3C,5106,W 1,Pranjal Vyas,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T4C,6108,W 9,Tejasvi Alladi,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T5C,6105,W 9,Gopal Singh Phartiyal,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T6E,5101,W 1,Sai Sesha Chalapathi Ga..,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T7E,1234,W 9,Sai Sesha Chalapathi Ga..,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T8E,1204,W 9,Meetha V. Shenoy,13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T9E,1205,W 9,Balamurugan P(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,T10E,1223,W 9,Govind Prasad,13/03 AN1,14/05 FN
