COM COD,COURSE NO.,COURSE TITLE,CREDITS,SEC,ROOM,DAYS & HOURS,INSTRUCTOR,MIDSEM,COMPRE
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,T5,6107,F 1,Priyank Jayraj(RS),11/03 FN1,08/05 FN
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,T6,6108,T 9,Priyank Jayraj(RS),11/03 FN1,08/05 FN
1670,CS F366,LABORATORY PROJECT,----3,L1,,,YASHVARDHAN SHARMA,,
1740,CS F367,LABORATORY PROJECT,----3,L1,,,YASHVARDHAN SHARMA,,
1315,CS F372,OPERATING SYSTEMS,3---3,L1,6101,T Th F 3,JANARDAN PRASAD MISRA,10/03 AN1,06/05 FN
1315,CS F372,OPERATING SYSTEMS,3---3,T1,6103,F 10,Yashvardhan Sharma,10/03 AN1,06/05 FN
1315,CS F372,OPERATING SYSTEMS,3---3,T2,6103,T 1,Pranjal Vyas,10/03 AN1,06/05 FN
1689,CS F376,DESIGN PROJECT,----3,L1,,,YASHVARDHAN SHARMA,,
1756,CS F377,DESIGN PROJECT,----3,L1,,,YASHVARDHAN SHARMA,,
1333,CS F407,ARTIFICIAL INTELLIGENCE,3---3,L1,6101,M W 4 T 10,"AMIT DUA, Asish Bera",12/03 FN1,11/05 FN
1323,CS F422,PARALLEL COMPUTING,3---3,L1,6103,M W F 9,"HARIBABU K, Mukesh Kumar Rohil",11/03 AN1,09/05 FN
1323,CS F422,PARALLEL COMPUTING,3---3,P1,6116,S 3 4,Haribabu K,11/03 AN1,09/05 FN
2440,CS F425,DEEP LEARNING,3---3,L1,6102,M W 5 Th 10,PRATIK NARANG,13/03 AN1,14/05 FN
